ID,Pitcher,PitcherThrows,PitcherTeam,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,RelHeight,RelSide,RetagPitchType
280,Pitcher A,Right,Team A,78.323,2932.989618,43.24095,-13.45375,-14.13438,5.58271,1.54851,Curveball
281,Pitcher A,Right,Team A,95.7456,2498.563265,259.308097,4.55681,18.55962,5.42635,1.53236,Sinker
282,Pitcher A,Right,Team A,81.66439,2983.064317,51.20945,-7.43874,-10.83225,5.42778,1.71686,Slider
283,Pitcher A,Right,Team A,78.46111,3052.516274,54.875283,-9.17812,-15.33536,5.61417,1.43106,Curveball
284,Pitcher A,Right,Team A,78.58156,2896.38903,42.481317,-9.60587,-10.25642,5.60269,1.37022,Curveball
285,Pitcher A,Right,Team A,92.80748,2469.330966,201.195527,7.72189,2.60079,5.38186,1.49012,Fastball
286,Pitcher A,Right,Team A,82.29326,3050.753025,67.726124,-4.59941,-14.70477,5.40198,1.73372,Slider
287,Pitcher A,Right,Team A,82.26154,2964.353628,54.776251,-6.2537,-10.7154,5.3964,1.65478,Slider
288,Pitcher A,Right,Team A,91.9534,2591.775275,217.998791,8.15036,5.58217,5.45904,1.36249,Fastball
289,Pitcher A,Right,Team A,94.03328,2512.905053,204.932358,10.47831,4.45547,5.48849,1.35985,Fastball
290,Pitcher A,Right,Team A,82.67428,2838.944625,43.423194,-7.27461,-8.18835,5.41286,1.38364,Slider
291,Pitcher A,Right,Team A,92.83233,2588.987817,201.618738,12.08162,4.38764,5.50546,1.25004,Fastball
292,Pitcher A,Right,Team A,79.60755,2956.964518,49.815777,-11.06308,-14.91438,5.63442,1.30359,Curveball
293,Pitcher A,Right,Team A,83.55568,2907.651674,67.015718,-3.5528,-11.49619,5.30393,1.57778,Slider
294,Pitcher A,Right,Team A,77.00922,2934.126418,54.538339,-12.2189,-19.48438,5.70245,1.39753,Curveball
295,Pitcher A,Right,Team A,78.71482,2826.542431,52.317273,-7.788,-11.9904,5.61966,1.575,Curveball
296,Pitcher A,Right,Team A,77.74933,2796.322635,62.114361,-6.53248,-15.2408,5.6422,1.35025,Curveball
297,Pitcher A,Right,Team A,93.55645,2525.782006,249.905098,8.08882,19.3054,5.41924,1.36014,Sinker
298,Pitcher A,Right,Team A,92.8003,2506.082174,219.985552,9.36284,7.0637,5.43748,1.52763,Fastball
299,Pitcher A,Right,Team A,85.82211,2032.015482,238.580669,11.87056,17.16725,5.30645,1.563,Changeup
300,Pitcher A,Right,Team A,81.06732,3080.441807,43.568505,-13.3654,-14.12418,5.64046,1.45898,Curveball
301,Pitcher A,Right,Team A,79.44132,2988.885204,62.151104,-7.63315,-17.27765,5.61587,1.53195,Curveball
302,Pitcher A,Right,Team A,91.45602,2446.829996,221.080913,9.46697,7.3028,5.62111,1.4166,Fastball
303,Pitcher A,Right,Team A,82.9219,3070.671425,40.780347,-7.36981,-7.61965,5.42062,1.28763,Slider
304,Pitcher A,Right,Team A,85.06497,1903.335057,251.717664,7.44603,18.60568,5.4132,1.6493,Changeup
305,Pitcher A,Right,Team A,94.33367,2435.259279,247.676886,5.31658,10.52564,5.49931,1.39221,Sinker
306,Pitcher A,Right,Team A,81.7849,2937.348087,89.933021,1.39772,-16.60847,5.39937,1.57162,Slider
307,Pitcher A,Right,Team A,93.94644,2483.096666,255.72234,5.56551,17.65788,5.46167,1.3931,Sinker
308,Pitcher A,Right,Team A,93.35778,2573.592203,217.824105,11.42406,8.11981,5.44136,1.50421,Fastball
309,Pitcher A,Right,Team A,93.00899,2493.490323,229.284773,9.01197,9.34993,5.40666,1.48468,Fastball
